record_id,estimand_id,registry_id,study_acronym,citation_or_record,year,population,intervention,comparator,design,directness,screen_status,reason,source_url,independent_review_status
PSI-CAND-001,EST-AE-PSI-001,NCT03866174,,Raison CL et al. Single-Dose Psilocybin Treatment for Major Depressive Disorder: A Randomized Clinical Trial. JAMA.,2023,Adults with major depressive disorder meeting trial eligibility,Single 25 mg oral synthetic psilocybin with psychological support,Niacin active placebo with comparable support,Randomized double-blind placebo-controlled trial,direct_primary_candidate,independent_not_started,"Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Closely matches diagnosis, dose, monitored setting, and controlled comparison.",https://pubmed.ncbi.nlm.nih.gov/37651119/,not_started
PSI-CAND-002,EST-AE-PSI-001,NCT04630964,PSIPET,Yngwe H et al. Short-Term and Late-Term Effects of Psilocybin on Symptoms in Major Depression: A Randomized Clinical Trial. JAMA Network Open.,2026,Adults with moderate to severe recurrent major depressive disorder,Single 25 mg oral psilocybin with five psychotherapeutic support sessions,Niacin 100 mg active placebo with support,Double-blind placebo-controlled randomized clinical trial,direct_primary_candidate,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Direct dose and diagnosis match; exact safety windows still require independent extraction.,https://pubmed.ncbi.nlm.nih.gov/42138922/,not_started
PSI-CAND-003,EST-AE-PSI-001,NCT03775200,,Goodwin GM et al. Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine.,2022,Adults with treatment-resistant depression,Single 25 mg oral synthetic psilocybin with support,1 mg psilocybin control; additional 10 mg arm,Randomized double-blind dose-ranging trial,indirect_population_and_comparator,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Important safety evidence but differs in population and comparator.,https://pubmed.ncbi.nlm.nih.gov/36322843/,not_started
PSI-CAND-004,EST-AE-PSI-001,NCT04670081,EPIsoDE,Mertens LJ et al. Efficacy and Safety of Psilocybin in Treatment-Resistant Major Depression: the EPIsoDE Randomized Clinical Trial. JAMA Psychiatry.,2026,Adults with treatment-resistant major depression,Single 25 mg psilocybin with psychological support,Active placebo/control per trial protocol,Randomized double-blind active-placebo-controlled trial,indirect_population,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Recent randomized evidence in a treatment-resistant population; retain as an indirect stratum.,https://pubmed.ncbi.nlm.nih.gov/41848690/,not_started
PSI-CAND-005,EST-AE-PSI-001,NCT06308653,uAspire,Psilocybin for Major Depressive Disorder (uAspire).,ongoing,Adults with major depressive disorder,25 mg psilocybin with optional re-administration during follow-up,Placebo,Randomized double-blind trial,potentially_direct_but_regimen_review_needed,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Potentially direct first administration; optional repeat dosing must remain separable.,https://clinicaltrials.gov/study/NCT06308653,not_started
PSI-CAND-006,EST-AE-PSI-001,NCT03715127,,"von Rotz R et al. Single-dose psilocybin-assisted therapy in major depressive disorder: a placebo-controlled, double-blind, randomised clinical trial.",2023,Adults with major depressive disorder,Single weight-adjusted psilocybin dose with support,Placebo,Placebo-controlled double-blind randomized clinical trial,indirect_dose,independent_not_started,"Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Population is relevant, but the dose is not the fixed 25 mg primary estimand.",https://pubmed.ncbi.nlm.nih.gov/36636296/,not_started
PSI-CAND-007,EST-AE-PSI-001,NCT03181529,,Davis AK et al. Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial.,2021,Adults with major depressive disorder,Two psilocybin sessions using weight-adjusted doses with psychotherapy,Immediate versus delayed-treatment design,Randomized delayed-treatment clinical trial,indirect_regimen_and_comparator,independent_not_started,"Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. MDD evidence, but repeated dosing and comparator structure differ materially.",https://pubmed.ncbi.nlm.nih.gov/33146667/,not_started
PSI-CAND-008,EST-AE-PSI-001,,,"Sloshower J et al. Psilocybin-assisted therapy for major depressive disorder: an exploratory placebo-controlled, fixed-order trial.",2023,Adults with major depressive disorder,Psilocybin after a placebo period in a fixed-order design,Placebo period,Exploratory placebo-controlled fixed-order trial,indirect_dose_and_design,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Fixed order and dose details prevent direct pooling.,https://pubmed.ncbi.nlm.nih.gov/36938991/,not_started
PSI-CAND-009,EST-AE-PSI-001,NCT03429075,,Carhart-Harris R et al. Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine.,2021,Adults with moderate-to-severe major depressive disorder,Two 25 mg psilocybin administrations plus daily placebo,Two 1 mg psilocybin administrations plus daily escitalopram,Randomized double-blind phase 2 trial,indirect_repeated_dose_and_comparator,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Repeated dosing and an active-treatment comparator differ from the primary estimand.,https://pubmed.ncbi.nlm.nih.gov/33852780/,not_started
PSI-CAND-010,EST-AE-PSI-001,NCT05733546,,Phase II multicentre study of single COMP360 administration in recurrent major depressive disorder.,ongoing_or_unreported,Adults with recurrent major depressive disorder and up to four prior treatment failures,Single COMP360 administration; exact arm details require registry extraction,Controlled arm per registry,Phase II multicentre randomized controlled study,potentially_direct_or_indirect,independent_not_started,"Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Potentially relevant, but exact dose, comparator, and report availability require formal registry review.",https://clinicaltrials.gov/study/NCT05733546,not_started
PSI-CAND-011,EST-AE-PSI-001,NCT04620759,,Psilocybin Treatment of Major Depressive Disorder With Co-occurring Alcohol Use Disorder.,registered,Adults with co-occurring major depressive disorder and alcohol use disorder,Psilocybin-assisted treatment; exact regimen requires registry extraction,Controlled arm per registry,Randomized clinical trial,indirect_comorbid_population,independent_not_started,"Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. MDD is present, but co-occurring alcohol use disorder changes the population.",https://clinicaltrials.gov/study/NCT04620759,not_started
PSI-CAND-012,EST-AE-PSI-001,NCT05624268,COMP005,COMP005: single-dose COMP360 25 mg versus placebo in treatment-resistant depression.,phase_3_results_announced,Adults with treatment-resistant depression,Single COMP360 25 mg administration with psychological support,Placebo,Phase III randomized double-blind controlled study,indirect_population,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Large and important but treatment-resistant population is indirect to the primary MDD estimand.,https://clinicaltrials.gov/study/NCT05624268,not_started
PSI-CAND-013,EST-AE-PSI-001,NCT05711940,COMP006,COMP006: two administrations of COMP360 in treatment-resistant depression.,phase_3_results_announced,Adults with treatment-resistant depression,Two COMP360 administrations with psychological support,Controlled arm per registry,Phase III randomized double-blind controlled study,indirect_population_and_regimen,independent_not_started,Author horizon-scan note only; independent reviewers must decide eligibility without seeing author decisions. Both population and repeated-dose regimen differ from the primary estimand.,https://clinicaltrials.gov/study/NCT05711940,not_started
