record_id,study_family_id,estimand_id,record_type,registry_id,pmid,doi,title,year,population_scope,dose_and_regimen,comparator,design,directness_hint_author_only,author_horizon_status,independent_screen_status,verification_source,source_url,source_verified_date,notes
PSI-CAND-001,PSI-FAM-001,EST-AE-PSI-001,journal_article,NCT03866174,37651119,,Raison CL et al. Single-Dose Psilocybin Treatment for Major Depressive Disorder: A Randomized Clinical Trial. JAMA.,2023,Adults with major depressive disorder meeting trial eligibility,Single 25 mg oral synthetic psilocybin with psychological support,Niacin active placebo with comparable support,Randomized double-blind placebo-controlled trial,direct_primary_candidate,included_in_author_pilot,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/37651119/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-002,PSI-FAM-002,EST-AE-PSI-001,journal_article,NCT04630964,42138922,10.1001/jamanetworkopen.2026.12589,Yngwe H et al. Short-Term and Late-Term Effects of Psilocybin on Symptoms in Major Depression: A Randomized Clinical Trial. JAMA Network Open.,2026,Adults with moderate to severe recurrent major depressive disorder,Single 25 mg oral psilocybin with five psychotherapeutic support sessions,Niacin 100 mg active placebo with support,Double-blind placebo-controlled randomized clinical trial,direct_primary_candidate,included_in_author_pilot,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/42138922/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-003,PSI-FAM-003,EST-AE-PSI-001,journal_article,NCT03775200,36322843,10.1056/NEJMoa2206443,Goodwin GM et al. Single-Dose Psilocybin for a Treatment-Resistant Episode of Major Depression. New England Journal of Medicine.,2022,Adults with treatment-resistant depression,Single 25 mg oral synthetic psilocybin with support,1 mg psilocybin control; additional 10 mg arm,Randomized double-blind dose-ranging trial,indirect_population_and_comparator,included_secondary_author_pilot,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/36322843/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-004,PSI-FAM-004,EST-AE-PSI-001,journal_article,NCT04670081,41848690,,Mertens LJ et al. Efficacy and Safety of Psilocybin in Treatment-Resistant Major Depression: the EPIsoDE Randomized Clinical Trial. JAMA Psychiatry.,2026,Adults with treatment-resistant major depression,Single 25 mg psilocybin with psychological support,Active placebo/control per trial protocol,Randomized double-blind active-placebo-controlled trial,indirect_population,candidate_full_extraction,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/41848690/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-005,PSI-FAM-005,EST-AE-PSI-001,trial_registry,NCT06308653,,,Psilocybin for Major Depressive Disorder (uAspire).,ongoing,Adults with major depressive disorder,25 mg psilocybin with optional re-administration during follow-up,Placebo,Randomized double-blind trial,potentially_direct_but_regimen_review_needed,await_results,not_started,Official ClinicalTrials.gov record,https://clinicaltrials.gov/study/NCT06308653,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-006,PSI-FAM-006,EST-AE-PSI-001,journal_article,NCT03715127,36636296,,"von Rotz R et al. Single-dose psilocybin-assisted therapy in major depressive disorder: a placebo-controlled, double-blind, randomised clinical trial.",2023,Adults with major depressive disorder,Single weight-adjusted psilocybin dose with support,Placebo,Placebo-controlled double-blind randomized clinical trial,indirect_dose,candidate_indirect_safety_stratum,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/36636296/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-007,PSI-FAM-007,EST-AE-PSI-001,journal_article,NCT03181529,33146667,10.1001/jamapsychiatry.2020.3285,Davis AK et al. Effects of Psilocybin-Assisted Therapy on Major Depressive Disorder: A Randomized Clinical Trial.,2021,Adults with major depressive disorder,Two psilocybin sessions using weight-adjusted doses with psychotherapy,Immediate versus delayed-treatment design,Randomized delayed-treatment clinical trial,indirect_regimen_and_comparator,candidate_contextual_safety_stratum,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/33146667/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-008,PSI-FAM-008,EST-AE-PSI-001,journal_article,,36938991,,"Sloshower J et al. Psilocybin-assisted therapy for major depressive disorder: an exploratory placebo-controlled, fixed-order trial.",2023,Adults with major depressive disorder,Psilocybin after a placebo period in a fixed-order design,Placebo period,Exploratory placebo-controlled fixed-order trial,indirect_dose_and_design,candidate_contextual_safety_stratum,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/36938991/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-009,PSI-FAM-009,EST-AE-PSI-001,journal_article,NCT03429075,33852780,10.1056/NEJMoa2032994,Carhart-Harris R et al. Trial of Psilocybin versus Escitalopram for Depression. New England Journal of Medicine.,2021,Adults with moderate-to-severe major depressive disorder,Two 25 mg psilocybin administrations plus daily placebo,Two 1 mg psilocybin administrations plus daily escitalopram,Randomized double-blind phase 2 trial,indirect_repeated_dose_and_comparator,candidate_contextual_safety_stratum,not_started,Official PubMed record,https://pubmed.ncbi.nlm.nih.gov/33852780/,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-010,PSI-FAM-010,EST-AE-PSI-001,trial_registry,NCT05733546,,,Phase II multicentre study of single COMP360 administration in recurrent major depressive disorder.,ongoing_or_unreported,Adults with recurrent major depressive disorder and up to four prior treatment failures,Single COMP360 administration; exact arm details require registry extraction,Controlled arm per registry,Phase II multicentre randomized controlled study,potentially_direct_or_indirect,full_registry_review_required,not_started,Official ClinicalTrials.gov record,https://clinicaltrials.gov/study/NCT05733546,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-011,PSI-FAM-011,EST-AE-PSI-001,trial_registry,NCT04620759,,,Psilocybin Treatment of Major Depressive Disorder With Co-occurring Alcohol Use Disorder.,registered,Adults with co-occurring major depressive disorder and alcohol use disorder,Psilocybin-assisted treatment; exact regimen requires registry extraction,Controlled arm per registry,Randomized clinical trial,indirect_comorbid_population,full_registry_review_required,not_started,Official ClinicalTrials.gov record,https://clinicaltrials.gov/study/NCT04620759,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-012,PSI-FAM-012,EST-AE-PSI-001,trial_registry,NCT05624268,,,COMP005: single-dose COMP360 25 mg versus placebo in treatment-resistant depression.,phase_3_results_announced,Adults with treatment-resistant depression,Single COMP360 25 mg administration with psychological support,Placebo,Phase III randomized double-blind controlled study,indirect_population,await_full_public_report,not_started,Official ClinicalTrials.gov record,https://clinicaltrials.gov/study/NCT05624268,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
PSI-CAND-013,PSI-FAM-013,EST-AE-PSI-001,trial_registry,NCT05711940,,,COMP006: two administrations of COMP360 in treatment-resistant depression.,phase_3_results_announced,Adults with treatment-resistant depression,Two COMP360 administrations with psychological support,Controlled arm per registry,Phase III randomized double-blind controlled study,indirect_population_and_regimen,await_full_public_report,not_started,Official ClinicalTrials.gov record,https://clinicaltrials.gov/study/NCT05711940,2026-07-23,Author-side horizon scan. Hide directness and author-status fields from independent first-pass reviewers.
